campus,area,codigo_curso,uf,municipio
CAMPUS  - SANTA MARIA - CAMOBI,ARQUIVOLOGIA,65,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUIVOLOGIA,65,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUIVOLOGIA,65,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUIVOLOGIA,65,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUIVOLOGIA,65,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUIVOLOGIA,65,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARQUIVOLOGIA,65,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARTES VISUAIS,2501,RS,São Vicente do Sul
CAMPUS  - SANTA MARIA - CAMOBI,ARTES VISUAIS,2501,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARTES VISUAIS,2501,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARTES VISUAIS,2501,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ARTES VISUAIS,2501,RS,Ijuí
CAMPUS  - SANTA MARIA - CAMOBI,ARTES VISUAIS,2501,RS,Canoas
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Sant'Ana do Livramento
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,PR,Quedas do Iguaçu
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Esperança do Sul
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Santo Ângelo
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,São Gabriel
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Sant'Ana do Livramento
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Itaara
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Porto Alegre
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,SP,São Paulo
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Porto Alegre
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIA DA COMPUTAÇÃO,4004,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,SC,Campos Novos
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Silveira Martins
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Alvorada
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Encruzilhada do Sul
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Agudo
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Sapucaia do Sul
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Mata
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Nova Palma
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS CONTÁBEIS,22,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS ECONÔMICAS,13,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS ECONÔMICAS,13,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS ECONÔMICAS,13,RS,Porto Alegre
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS ECONÔMICAS,13,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,CIÊNCIAS ECONÔMICAS,13,RS,Três Passos
